lng	lat	count
113.403062	23.077682	12.0
113.255243	23.080002	0.0
113.283531	23.092124	286.0
113.339804	23.170176	115.0
113.243107	23.141692	284.0
113.310563	23.113591	40.0
113.357779	23.09225	10.0
113.425192	23.115022	20.0
113.324027	23.116985	138.0
113.315028	23.150025	445.0
113.265118	23.183687	2.0
113.30381	23.06145	0.0
113.411726	23.125359	636.0
113.380269	23.077815	63.0
113.378029	23.210024	267.0
113.332978	23.098385	140.0
113.369028	23.123263	1163.0
113.33396	23.135781	1132.0
113.245475	23.143586	267.0
113.260431	23.186415	9.0
113.409482	23.13569	0.0
113.256565	23.087977	172.0
113.271349	23.084637	12.0
113.250447	23.096005	19.0
113.34878	23.104634	22.0
113.371273	23.104208	0.0
113.41185	23.081776	8.0
113.324025	23.092188	493.0
113.290354	23.081851	18.0
113.310523	23.083897	326.0
113.348982	23.077924	27.0
113.396004	23.110893	219.0
113.355529	23.088113	767.0
113.351031	23.119102	679.0
113.407732	23.123316	126.0
113.308276	23.125222	1237.0
113.333024	23.057067	3.0
113.243241	23.136027	16.0
113.256567	23.127239	466.0
113.34653	23.119094	55.0
113.27897	23.116934	446.0
113.407234	23.106763	20.0
113.404991	23.146019	12.0
113.296914	23.148055	60.0
113.240851	23.152034	108.0
113.407339	23.153928	63.0
113.422732	23.12668	0.0
113.393755	23.086093	3.0
113.328525	23.073595	75.0
113.352029	23.125804	6.0
113.259185	23.132301	12.0
113.32403	23.158304	531.0
113.347799	23.167712	3.0
113.341842	23.170054	82.0
113.292456	23.199497	48.0
113.270156	23.203087	38.0
113.324033	23.214062	11.0
113.313	23.216468	25.0
113.328526	23.094263	175.0
113.332836	23.129424	1962.0
113.393862	23.13416	215.0
113.276228	23.07135	283.0
113.353279	23.094309	19.0
113.254324	23.166489	105.0
113.333063	23.156287	351.0
113.346533	23.158346	82.0
113.297006	23.090046	99.0
113.418463	23.168738	49.0
113.292535	23.205752	26.0
113.308287	23.053458	8.0
113.416217	23.131557	13.0
113.299279	23.145868	260.0
113.252095	23.092127	121.0
113.400495	23.094363	9.0
113.369029	23.137726	1528.0
113.33078	23.147988	1109.0
113.321775	23.164062	52.0
113.333034	23.201691	27.0
113.274586	23.115469	0.0
113.326278	23.131453	1183.0
113.305248	23.14561	13.0
113.326276	23.104591	166.0
113.275408	23.094656	80.0
113.350954	23.125846	127.0
113.332577	23.169442	6.0
113.366779	23.114996	120.0
113.324067	23.141013	55.0
113.344281	23.131487	1940.0
113.391513	23.156342	247.0
113.279097	23.174917	85.0
113.270053	23.199536	63.0
113.346578	23.170703	283.0
113.360036	23.199675	46.0
113.317303	23.172232	233.0
113.299284	23.21402	261.0
113.393756	23.08816	21.0
113.285781	23.083861	225.0
113.321715	23.063644	20.0
113.294775	23.067337	292.0
113.344279	23.100493	33.0
113.301522	23.054944	19.0
113.360029	23.098454	15.0
113.275352	23.105968	16.0
113.357815	23.109341	9.0
113.310525	23.110762	102.0
113.294884	23.109165	0.0
113.243181	23.116893	455.0
113.254321	23.116909	282.0
113.413975	23.181132	3.0
113.37574	23.07578	230.0
113.263425	23.193273	50.0
113.33754	23.098424	378.0
113.380273	23.146004	42.0
113.398277	23.151881	100.0
113.369025	23.075733	461.0
113.332953	23.208033	35.0
113.389265	23.154275	15.0
113.27419	23.067427	70.0
113.344711	23.077411	4.0
113.337532	23.154198	321.0
113.277652	23.140789	4.0
113.37578	23.199697	525.0
113.281285	23.10659	168.0
113.301523	23.059078	3.0
113.261119	23.17271	28.0
113.294731	23.064744	13.0
113.377883	23.137272	20.0
113.270046	23.104515	445.0
113.324002	23.15208	54.0
113.283644	23.069592	77.0
113.353276	23.055037	3.0
113.29028	23.114864	46.0
113.319526	23.119043	318.0
113.292063	23.133715	148.0
113.326278	23.129387	861.0
113.332157	23.143793	94.0
113.404992	23.152216	54.0
113.316773	23.162316	137.0
113.425193	23.135683	15.0
113.302469	23.093333	12.0
113.384965	23.117839	0.0
113.391512	23.135684	239.0
113.39376	23.156344	87.0
113.256569	23.149964	124.0
